Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion
Hunziker Erich,SVP,Kirchleerau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4478699,4478699,Bezirk Zofingen,SVP/EDU
Hunziker Lelia,SP,Aarau ,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=3954390,3954390,Bezirk Aarau,SP
Huwyler Stefan,FDP,Muri,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=113497,113497,Bezirk Muri,FDP
Jäggi Rolf,SVP,Egliswil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=115112,115112,Bezirk Lenzburg,SVP/EDU
Käser Beat,FDP,Stein,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887887,4887887,Bezirk Rheinfelden,FDP
Kaufmann Alfons Paul,Die Mitte,Wallbach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111040,111040,Bezirk Rheinfelden,Die Mitte
Kaufmann Maurus,Grüne,Seon,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=3661495,3661495,Bezirk Lenzburg,Grüne
Kaufmann Tonja,SVP,Hausen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=109109,109109,Bezirk Brugg,SVP/EDU
Keller Christian,SVP,Untersiggenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887888,4887888,Bezirk Baden,SVP/EDU
Keller Christian Jon,Grüne,Obersiggenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4685908,4685908,Bezirk Baden,Grüne
Kern Knecht Leandra,GLP,Turgi,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887889,4887889,Bezirk Baden,GLP
Knuchel Jürg,SP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102474,102474,Bezirk Aarau,SP
Koch Wick Karin,Die Mitte,Bremgarten,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4088129,4088129,Bezirk Bremgarten,Die Mitte
Kosch Mirjam,Grüne,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887890,4887890,Bezirk Aarau,Grüne
Kuster Petra,SVP,Neuenhof,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887891,4887891,Bezirk Baden,SVP/EDU
Kuster Roland,Die Mitte,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4069057,4069057,Bezirk Baden,Die Mitte
Lang Markus,GLP,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4888908,4888908,Bezirk Brugg,GLP
Lauper Richner Gabi,SP,Niederlenz,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4067921,4067921,Bezirk Lenzburg,SP
Leitch-Frey Thomas,SP,Wohlen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=25055,25055,Bezirk Bremgarten,SP
Lüscher Severin,Grüne,Schöftland,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=108453,108453,Bezirk Kulm,Grüne
Lüthy Gabriel,FDP,Widen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111068,111068,Bezirk Bremgarten,FDP
Lüthy Markus,SVP,Erlinsbach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102372,102372,Bezirk Aarau,SVP/EDU
Lütolf Harry,Die Mitte,Wohlen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=115068,115068,Bezirk Bremgarten,Die Mitte
Mallien Sander,GLP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102378,102378,Bezirk Baden,GLP
Marclay-Merz Suzanne,FDP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4489667,4489667,Bezirk Aarau,FDP
Meier Adrian,FDP,Menziken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4888934,4888934,Bezirk Kulm,FDP
Meier Andreas,Die Mitte,Klingnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116998,116998,Bezirk Zurzach,Die Mitte
Meier Maya,SVP,Auenstein,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=95815,95815,Bezirk Brugg,SVP/EDU
Meier Titus,FDP,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=88392,88392,Bezirk Brugg,FDP
Merz Alfred,SP,Menziken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102382,102382,Bezirk Kulm,SP
Merz Christian,SVP,Beinwil am See,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=113120,113120,Bezirk Kulm,SVP/EDU
Minder Christian,EVP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111206,111206,Bezirk Lenzburg,EVP
Mosimann Daniel,SP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107570,107570,Bezirk Lenzburg,SP
Müller Robert Alan,SVP,Freienwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4489977,4489977,Bezirk Baden,SVP/EDU
Müller Werner,Die Mitte,Wittnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=3679914,3679914,Bezirk Laufenburg,Die Mitte
Müller-Boder Nicole,SVP,Buttwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107572,107572,Bezirk Muri,SVP/EDU
Müri Ruth,Grüne,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=114894,114894,Bezirk Baden,Grüne
Notter Daniel,SVP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4235037,4235037,Bezirk Baden,SVP/EDU
Notter Michael,Die Mitte,Niederrohrdorf,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=115841,115841,Bezirk Baden,Die Mitte
Obrist Robert,Grüne,Schinznach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=112816,112816,Bezirk Brugg,Grüne
Ounde Ignatius,GLP,Gränichen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887894,4887894,Bezirk Aarau,GLP
Perroud Arsène,SP,Wohlen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=114896,114896,Bezirk Bremgarten,SP
Peter Dominik,GLP,Bremgarten,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=114907,114907,Bezirk Bremgarten,GLP
Pfisterer Lukas,FDP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102475,102475,Bezirk Aarau,FDP
Plüss Urs,EVP,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102454,102454,Bezirk Zofingen,EVP
Portmann-Müller Barbara,GLP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87997,87997,Bezirk Lenzburg,GLP
Ramseier Philippe,FDP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887895,4887895,Bezirk Baden,FDP
Riner Christoph,SVP,Zeihen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87577,87577,Bezirk Laufenburg,SVP/EDU
Rohrer Claudia,SP,Rheinfelden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111039,111039,Bezirk Rheinfelden,SP
Rotzetter Andre,Die Mitte,Buchs,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102373,102373,Bezirk Aarau,Die Mitte
Rudolf Bruno,SVP,Reinach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102476,102476,Bezirk Kulm,SVP/EDU
Saner Edith,Die Mitte,Birmenstorf,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=117190,117190,Bezirk Baden,Die Mitte
Scherer Werner,SVP,Killwangen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=114890,114890,Bezirk Baden,SVP/EDU
Schmid Isabelle,Grüne,Tegerfelden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887896,4887896,Bezirk Zurzach,Grüne
Schmidmeister Lea,SP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107115,107115,Bezirk Baden,SP
Schneider Markus,Die Mitte,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=5324419,5324419,Bezirk Baden,Die Mitte
Scholl Bernhard,FDP,Möhlin,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=60810,60810,Bezirk Rheinfelden,FDP
Schoop Adrian,FDP,Turgi,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=114892,114892,Bezirk Baden,FDP
Seibert Uriel,EVP,Schöftland,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=110263,110263,Bezirk Kulm,EVP
Sommer Alice,Grüne,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887897,4887897,Bezirk Zofingen,Grüne
Steinacher Andy,SVP,Schupfart,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4519372,4519372,Bezirk Rheinfelden,SVP/EDU
Stenico-Goldschmid Franziska,Die Mitte,Beinwil (Freiamt),https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4067421,4067421,Bezirk Muri,Die Mitte
Stichert Norbert,FDP,Untersiggenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4260979,4260979,Bezirk Baden,FDP
Stierli Walter,SVP,Fischbach-Göslikon,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=69593,69593,Bezirk Bremgarten,SVP/EDU
